bet_no,date_utc,match_id,minute,league,teams,market,selection,odds,stake,result,profit
1014,2026-09-05 09:33 UTC,8983535695,15-я минута,EPL Masters II,Team Lynx vs _PowerRanger,Тотал убийств,Меньше 52.5,1.73,5000,выигрыш,3650
1015,2026-09-06 13:08 UTC,8985721401,15-я минута,EPL Masters II,DYNASTY vs Zero Tenacity,Тотал убийств,Меньше 37.5,1.78,5000,проигрыш,-5000
1016,2026-09-06 18:34 UTC,8986344478,15-я минута,EPL Masters II,Team Lynx vs Level UP esport,Тотал убийств,Больше 45.5,1.83,5000,выигрыш,4150
1021,2026-09-07 10:36 UTC,8987146774,10-я минута,EPL Masters II,_PowerRangers vs Natus Vincere,Тотал убийств,Больше 47.5,1.83,5000,выигрыш,4150
1022,2026-09-07 10:41 UTC,8987146774,15-я минута,EPL Masters II,_PowerRangers vs Natus Vincere,Тотал убийств,Больше 48.5,2.07,2500,выигрыш,2675
1026,2026-09-07 13:30 UTC,8987356699,10-я минута,EPL Masters II,HULIGANI vs Klim Sani4,Тотал убийств,Больше 49.5,1.79,5000,выигрыш,3950
1027,2026-09-07 13:35 UTC,8987356699,15-я минута,EPL Masters II,HULIGANI vs Klim Sani4,Тотал убийств,Больше 44.5,1.84,2500,выигрыш,2100
1033,2026-09-08 09:31 UTC,8988557865,10-я минута,EPL Masters II,_PowerRangers vs HULIGANI,Тотал убийств,Больше 38.5,1.85,5000,выигрыш,4250
1034,2026-09-08 09:35 UTC,8988557865,15-я минута,EPL Masters II,_PowerRangers vs HULIGANI,Тотал убийств,Меньше 41.5,1.84,2500,проигрыш,-2500
1036,2026-09-08 12:06 UTC,8988695634,15-я минута,EPL Masters II,_PowerRangers vs HULIGANI,Тотал убийств,Меньше 36.5,1.92,5000,выигрыш,4600
1040,2026-09-08 17:06 UTC,8989163978,15-я минута,EPL Masters II,Klim Sani4 vs Natus Vincere,Тотал убийств,Меньше 46.5,1.74,5000,выигрыш,3700
1046,2026-09-08 19:45 UTC,8989423966,10-я минута,EPL Masters II,Klim Sani4 vs Natus Vincere,Тотал убийств,Больше 42.5,1.78,5000,проигрыш,-5000
1047,2026-09-08 19:50 UTC,8989423966,15-я минута,EPL Masters II,Klim Sani4 vs Natus Vincere,Тотал убийств,Меньше 43.5,1.83,2500,выигрыш,2075
1052,2026-09-08 22:18 UTC,8989587398,10-я минута,EPL Masters II,GamerLegion vs MOUZ,Тотал убийств,Больше 45.5,1.84,5000,выигрыш,4200
1055,2026-09-09 13:32 UTC,8990285196,15-я минута,EPL Masters II,HULIGANI vs MOUZ,Тотал убийств,Меньше 42.5,1.8,5000,выигрыш,4000
1056,2026-09-09 14:18 UTC,8990366825,10-я минута,EPL Masters II,MOUZ vs HULIGANI,Тотал убийств,Больше 40.5,1.85,5000,выигрыш,4250
1057,2026-09-09 14:23 UTC,8990366825,15-я минута,EPL Masters II,MOUZ vs HULIGANI,Тотал убийств,Больше 43.5,1.8,2500,выигрыш,2000
1058,2026-09-09 22:35 UTC,8991020791,10-я минута,EPL Masters II,MOUZ vs Klim Sani4,Тотал убийств,Больше 53.5,1.79,5000,выигрыш,3950
1063,2026-09-10 18:51 UTC,8992269821,10-я минута,EPL Masters II,Natus Vincere vs Klim Sani4,Тотал убийств,Больше 49.5,1.75,5000,проигрыш,-5000
1065,2026-09-12 08:32 UTC,8994691423,10-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Natus Vincere vs Zero Tenacity,Тотал убийств,Больше 43.5,1.81,5000,выигрыш,4050
1066,2026-09-12 08:37 UTC,8994691423,15-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Natus Vincere vs Zero Tenacity,Тотал убийств,Больше 41.5,1.8,2500,выигрыш,2000
1070,2026-09-12 14:39 UTC,8995259364,15-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Dawn Bulls vs MOUZ,Тотал убийств,Меньше 48.5,1.91,5000,выигрыш,4550
1074,2026-09-12 17:20 UTC,8995582836,10-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Klim Sani4 vs HULIGANI,Тотал убийств,Больше 41.5,1.84,5000,проигрыш,-5000
1075,2026-09-12 17:25 UTC,8995582836,15-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Klim Sani4 vs HULIGANI,Тотал убийств,Больше 48.5,1.78,2500,проигрыш,-2500
1076,2026-09-12 18:23 UTC,8995710809,10-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Klim Sani4 vs HULIGANI,Тотал убийств,Больше 35.5,1.84,5000,проигрыш,-5000
1077,2026-09-12 18:28 UTC,8995710809,15-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Klim Sani4 vs HULIGANI,Тотал убийств,Больше 36.5,2.08,2500,проигрыш,-2500
1079,2026-09-13 06:15 UTC,8996439080,15-я минута,RES Unchained 6: BLAST SLAM IX Southeast Asia Closed Qualifier,Execration vs Team Bored,Тотал убийств,Меньше 44.5,1.79,5000,проигрыш,-5000
1080,2026-09-13 08:03 UTC,8996565323,15-я минута,RES Unchained 6: BLAST SLAM IX Southeast Asia Closed Qualifier,Execration vs Team Bored,Тотал убийств,Меньше 52.5,1.84,5000,выигрыш,4200
1082,2026-09-13 08:28 UTC,8996581680,10-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Pipsqueak + 4 vs Natus Vincere,Тотал убийств,Больше 48.5,1.84,5000,проигрыш,-5000
1083,2026-09-13 08:33 UTC,8996581680,15-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Pipsqueak + 4 vs Natus Vincere,Тотал убийств,Больше 44.5,1.79,2500,проигрыш,-2500
1089,2026-09-13 09:28 UTC,8996676912,10-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Natus Vincere vs Pipsqueak + 4,Тотал убийств,Больше 46.5,1.85,5000,выигрыш,4250
1090,2026-09-13 09:33 UTC,8996676912,15-я минута,RES Unchained 6: BLAST SLAM IX Europe Closed Qualifier,Natus Vincere vs Pipsqueak + 4,Тотал убийств,Больше 48.5,1.84,2500,выигрыш,2100
1093,2026-09-13 12:05 UTC,8996904414,15-я минута,RES Unchained 6: BLAST SLAM IX Southeast Asia Closed Qualifier,Team Nemesis vs Team Bored,Тотал убийств,Больше 58.5,1.81,5000,выигрыш,4050
1095,2026-09-14 10:58 UTC,8998434688,15-я минута,European Pro League Season 40,Zero Tenacity vs Team Lynx,Тотал убийств,Меньше 54.5,1.87,5000,выигрыш,4350
