bet_no,date_utc,match_id,minute,league,teams,market,selection,odds,stake,result,profit
696,2026-08-03 12:30 UTC,8927374543,10-я минута,1win Essence II,OG vs GamerLegion,Тотал убийств,Больше 51.5,1.83,5000,проигрыш,-5000
697,2026-08-03 12:36 UTC,8927374543,15-я минута,1win Essence II,OG vs GamerLegion,Тотал убийств,Больше 52.5,1.84,2500,проигрыш,-2500
702,2026-08-03 15:04 UTC,8927660975,драфт (до игры),Games of the Future 2026: Playoffs,Yakult Brothers vs Vici Gaming,Тотал убийств,Больше 41.5,1.67,5000,выигрыш,3350
703,2026-08-03 15:16 UTC,8927660975,10-я минута,Games of the Future 2026: Playoffs,Yakult Brothers vs Vici Gaming,Тотал убийств,Больше 43.5,1.65,2500,проигрыш,-2500
705,2026-08-03 16:28 UTC,8927760296,10-я минута,Games of the Future 2026: Playoffs,Yakult Brothers vs Vici Gaming,Тотал убийств,Больше 37.5,1.64,5000,выигрыш,3200
706,2026-08-03 16:33 UTC,8927760296,15-я минута,Games of the Future 2026: Playoffs,Yakult Brothers vs Vici Gaming,Тотал убийств,Меньше 43.5,1.82,2500,проигрыш,-2500
707,2026-08-03 16:44 UTC,8927786392,15-я минута,1win Essence II,Team Falcons vs BoomBoy,Тотал убийств,Больше 51.5,1.81,5000,выигрыш,4050
709,2026-08-03 18:58 UTC,8927998383,10-я минута,1win Essence II,Team Liquid vs Vici Gaming,Тотал убийств,Больше 45.5,1.82,5000,выигрыш,4100
711,2026-08-03 19:29 UTC,8928050264,10-я минута,Games of the Future 2026: Playoffs,LGD.Pinghu vs Rune Eater,Тотал убийств,Больше 49.5,1.8,5000,выигрыш,4000
712,2026-08-03 19:35 UTC,8928050264,15-я минута,Games of the Future 2026: Playoffs,LGD.Pinghu vs Rune Eater,Тотал убийств,Больше 53.5,1.81,2500,выигрыш,2025
718,2026-08-04 11:40 UTC,8928851109,10-я минута,Games of the Future 2026: Playoffs,PlayTime vs Team resilience,Тотал убийств,Больше 49.5,1.9,5000,выигрыш,4500
720,2026-08-04 12:56 UTC,8928953683,10-я минута,Games of the Future 2026: Playoffs,Team resilience vs PlayTime,Тотал убийств,Больше 52.5,1.81,5000,выигрыш,4050
721,2026-08-04 13:44 UTC,8929037896,драфт (до игры),,1w vs Vici Gaming,Тотал убийств,Больше 48.5,1.75,5000,проигрыш,-5000
722,2026-08-04 13:56 UTC,8929037896,10-я минута,1win Essence II,1w vs Vici Gaming,Тотал убийств,Больше 47.5,1.84,2500,проигрыш,-2500
723,2026-08-04 14:56 UTC,8929156216,10-я минута,1win Essence II,Vici Gaming vs 1w,Тотал убийств,Больше 42.5,1.74,5000,проигрыш,-5000
724,2026-08-04 15:01 UTC,8929156216,15-я минута,1win Essence II,Vici Gaming vs 1w,Тотал убийств,Больше 35.5,1.81,2500,выигрыш,2025
729,2026-08-04 17:02 UTC,8929365099,10-я минута,Games of the Future 2026: Playoffs,Yakult Brothers vs Rune Eater,Тотал убийств,Больше 56.5,1.9,5000,выигрыш,4500
730,2026-08-04 17:16 UTC,8929364604,15-я минута,1win Essence II,Team Falcons vs Team Liquid,Тотал убийств,Больше 53.5,1.84,5000,проигрыш,-5000
732,2026-08-05 09:42 UTC,8930258778,15-я минута,Games of the Future 2026: Playoffs,Team resilience vs Rune Eater,Тотал убийств,Больше 52.5,1.82,5000,проигрыш,-5000
733,2026-08-05 09:42 UTC,8930258778,15-я минута,Games of the Future 2026: Playoffs,Team resilience vs Rune Eater,Тотал убийств,Больше 53.5,1.95,2500,проигрыш,-2500
735,2026-08-05 10:50 UTC,8930324653,10-я минута,1win Essence II,BoomBoys vs 1w,Тотал убийств,Больше 49.5,1.9,5000,проигрыш,-5000
736,2026-08-05 12:34 UTC,8930398938,10-я минута,Games of the Future 2026: Playoffs,Yakult Brothers vs PlayTime,Тотал убийств,Больше 47.5,1.75,5000,выигрыш,3750
737,2026-08-05 14:46 UTC,8930664368,10-я минута,1win Essence II,Team Liquid vs 1w,Тотал убийств,Больше 55.5,1.84,5000,выигрыш,4200
738,2026-08-05 14:51 UTC,8930664368,15-я минута,1win Essence II,Team Liquid vs 1w,Тотал убийств,Больше 62.5,1.82,2500,выигрыш,2050
743,2026-08-05 19:30 UTC,8931094863,15-я минута,1win Essence II,Team Falcons vs Team Liquid,Тотал убийств,Меньше 50.5,1.84,5000,выигрыш,4200
744,2026-08-05 20:26 UTC,8931183918,15-я минута,1win Essence II,Team Falcons vs Team Liquid,Тотал убийств,Меньше 48.5,1.9,5000,проигрыш,-5000
748,2026-08-06 10:46 UTC,8931852727,15-я минута,EPL Masters I,RE ARISE vs Level UP esport,Тотал убийств,Больше 55.5,1.73,5000,выигрыш,3650
751,2026-08-06 14:34 UTC,8932181345,10-я минута,EPL Masters I,RE ARISE vs No Hoodwink,Тотал убийств,Больше 40.5,1.68,5000,выигрыш,3400
752,2026-08-06 14:39 UTC,8932181345,15-я минута,EPL Masters I,RE ARISE vs No Hoodwink,Тотал убийств,Больше 41.5,1.8,2500,выигрыш,2000
754,2026-08-08 15:41 UTC,8935608568,10-я минута,Asgard Championship Season 1,Team Spirit Academy vs No Hoodwink,Тотал убийств,Больше 56.5,1.9,5000,выигрыш,4500
756,2026-08-08 18:25 UTC,8935885162,10-я минута,Asgard Championship Season 1,Team Lynx vs Level UP esport,Тотал убийств,Больше 45.5,1.84,5000,проигрыш,-5000
757,2026-08-08 18:30 UTC,8935885162,15-я минута,Asgard Championship Season 1,Team Lynx vs Level UP esport,Тотал убийств,Больше 41.5,1.79,2500,выигрыш,1975
758,2026-08-08 19:29 UTC,8935995360,10-я минута,Asgard Championship Season 1,Team Lynx vs Level UP esport,Тотал убийств,Больше 61.5,1.8,5000,проигрыш,-5000
759,2026-08-08 19:34 UTC,8935995360,15-я минута,Asgard Championship Season 1,Team Lynx vs Level UP esport,Тотал убийств,Больше 61.5,1.81,2500,проигрыш,-2500
762,2026-08-09 13:28 UTC,8937188618,10-я минута,EPL Masters I,MOUZ vs Level UP esport,Тотал убийств,Больше 53.5,1.83,5000,выигрыш,4150
763,2026-08-09 13:33 UTC,8937193969,15-я минута,Asgard Championship Season 1,No Hoodwink vs FTS,Тотал убийств,Больше 58.5,1.74,5000,выигрыш,3700
767,2026-08-09 19:28 UTC,8937822821,10-я минута,EPL Masters I,Zero Tenacity vs Natus Vincere,Тотал убийств,Больше 53.5,1.85,5000,выигрыш,4250
768,2026-08-09 19:33 UTC,8937822821,15-я минута,EPL Masters I,Zero Tenacity vs Natus Vincere,Тотал убийств,Больше 43.5,1.75,2500,выигрыш,1875
774,2026-08-10 13:41 UTC,8938855454,драфт (до игры),Asgard Championship Season 1,Team Lynx vs RE ARISE,Тотал убийств,Больше 45.5,1.69,5000,выигрыш,3450
775,2026-08-10 13:51 UTC,8938855404,10-я минута,EPL Masters I,Zero Tenacity vs Ilbirs Esport,Тотал убийств,Больше 50.5,1.8,5000,проигрыш,-5000
776,2026-08-10 13:53 UTC,8938855454,10-я минута,Asgard Championship Season 1,Team Lynx vs RE ARISE,Тотал убийств,Больше 41.5,1.79,2500,выигрыш,1975
777,2026-08-10 13:55 UTC,8938855404,15-я минута,EPL Masters I,Zero Tenacity vs Ilbirs Esport,Тотал убийств,Больше 47.5,1.8,2500,проигрыш,-2500
781,2026-08-10 15:41 UTC,8939023869,15-я минута,EPL Masters I,Yellow Submarine vs Level UP esport,Тотал убийств,Больше 35.5,1.81,5000,проигрыш,-5000
783,2026-08-10 17:39 UTC,8939238891,15-я минута,Asgard Championship Season 1,RE ARISE vs No Hoodwink,Тотал убийств,Больше 49.5,1.79,5000,выигрыш,3950
786,2026-08-10 17:56 UTC,8939264193,10-я минута,EPL Masters I,Yellow Submarine vs Level UP esport,Тотал убийств,Больше 49.5,1.88,5000,ожидание,
