bet_no,date_utc,match_id,minute,league,teams,market,selection,odds,stake,result,profit
455,2026-07-07 10:14 UTC,8885195986,15-я минута,,Rune Eaters vs Xtreme Gaming,Тотал убийств,Больше 44.5,1.82,5000,выигрыш,4100
456,2026-07-07 12:07 UTC,8885275216,драфт (до игры),,Xtreme Gaming vs Rune Eater,Тотал убийств,Больше 46.5,1.73,4100,выигрыш,2993
457,2026-07-07 12:47 UTC,8885365825,10-я минута,,Nigma Galaxy vs L1 TEAM,Тотал убийств,Больше 37.5,1.84,5400,проигрыш,-5400
458,2026-07-07 12:53 UTC,8885365825,15-я минута,,Nigma Galaxy vs L1 TEAM,Тотал убийств,Больше 40.5,1.82,5400,проигрыш,-5400
459,2026-07-07 14:23 UTC,8885529711,драфт (до игры),,Level UP esports vs Aurora Gaming,Тотал убийств,Больше 45.5,1.73,2800,проигрыш,-2800
460,2026-07-07 14:35 UTC,8885529711,10-я минута,,Level UP esports vs Aurora Gaming,Тотал убийств,Больше 44.5,1.89,4800,проигрыш,-4800
461,2026-07-07 15:49 UTC,8885633666,15-я минута,,MOUZ vs Team Spirit,Тотал убийств,Больше 59.5,1.8,2600,выигрыш,2080
462,2026-07-07 18:05 UTC,8885859920,драфт (до игры),,LGD Gaming vs Virtus.pro,Тотал убийств,Больше 47.5,1.8,4500,выигрыш,3600
463,2026-07-07 18:16 UTC,8885859920,10-я минута,,LGD Gaming vs Virtus.pro,Тотал убийств,Больше 41.5,1.8,4500,выигрыш,3600
464,2026-07-07 19:15 UTC,8885928262,10-я минута,,OG vs Team Yandex,Тотал убийств,Больше 35.5,1.8,4200,проигрыш,-4200
465,2026-07-07 20:08 UTC,8886013461,10-я минута,,LGD Gaming vs Virtus.pro,Тотал убийств,Больше 46.5,1.83,4700,выигрыш,3901
466,2026-07-07 20:15 UTC,8886005043,10-я минута,,Team Yandex vs OG,Тотал убийств,Больше 36.5,1.8,4700,выигрыш,3760
467,2026-07-08 10:51 UTC,8886640910,10-я минута,,Rune Eaters vs Team Falcon,Тотал убийств,Больше 55.5,1.88,4100,проигрыш,-4100
