bet_no,date_utc,match_id,minute,league,teams,market,selection,odds,stake,result,profit
468,2026-07-08 12:26 UTC,8886736772,15-я минута,,Level UP esports vs Team Liquid,Тотал убийств,Больше 51.5,1.78,4900,выигрыш,3822
469,2026-07-08 14:55 UTC,8886971456,15-я минута,,MOUZ vs REKONIX,Тотал убийств,Больше 47.5,1.88,5100,выигрыш,4488
470,2026-07-08 16:07 UTC,8887075626,15-я минута,,MOUZ vs REKONIX,Тотал убийств,Больше 63.5,1.84,5300,выигрыш,4452
471,2026-07-08 16:14 UTC,8887114313,драфт (до игры),,Team Nemesis vs Team Spirit,Тотал убийств,Больше 46.5,1.78,2300,выигрыш,1794
472,2026-07-08 16:27 UTC,8887114313,10-я минута,,Team Nemesis vs Team Spirit,Тотал убийств,Больше 52.5,1.85,5300,выигрыш,4505
473,2026-07-08 16:31 UTC,8887114313,15-я минута,,Team Nemesis vs Team Spirit,Тотал убийств,Больше 54.5,1.76,5300,выигрыш,4028
474,2026-07-08 17:44 UTC,8887218598,15-я минута,,OG vs LGD Gaming,Тотал убийств,Меньше 43.5,1.81,6000,выигрыш,4860
475,2026-07-08 17:58 UTC,8887260104,драфт (до игры),,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 44.5,1.74,4500,проигрыш,-4500
476,2026-07-08 18:10 UTC,8887260104,10-я минута,,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 57.5,1.8,6000,проигрыш,-6000
477,2026-07-08 18:16 UTC,8887260104,15-я минута,,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 54.5,1.78,6000,проигрыш,-6000
478,2026-07-08 18:59 UTC,8887337672,драфт (до игры),,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 42.5,1.74,3100,проигрыш,-3100
479,2026-07-08 19:03 UTC,8887325211,10-я минута,,Virtus.pro vs 1w,Тотал убийств,Больше 51.5,1.9,4300,выигрыш,3870
480,2026-07-08 19:07 UTC,8887325211,15-я минута,,Virtus.pro vs 1w,Тотал убийств,Больше 56.5,1.88,4800,выигрыш,4224
481,2026-07-08 19:13 UTC,8887337672,10-я минута,,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 39.5,1.82,5400,выигрыш,4428
482,2026-07-08 19:18 UTC,8887337672,15-я минута,,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 41.5,1.8,5400,проигрыш,-5400
483,2026-07-08 20:32 UTC,8887432754,10-я минута,,1w vs Virtus.pro,Тотал убийств,Больше 41.5,1.86,5600,проигрыш,-5600
484,2026-07-09 09:33 UTC,8887986392,10-я минута,,_PowerRangers vs Xtreme Gaming,Тотал убийств,Больше 45.5,1.87,4400,выигрыш,3828
485,2026-07-09 11:23 UTC,8888083694,10-я минута,,Team Falcons vs GamerLegion,Тотал убийств,Больше 37.5,1.84,4100,выигрыш,3444
486,2026-07-09 13:04 UTC,8888217771,10-я минута,,Team Liquid vs Nigma Galaxy,Тотал убийств,Больше 46.5,1.81,3400,выигрыш,2754
487,2026-07-09 15:54 UTC,8888489297,10-я минута,,Vici Gaming vs Team Spirit,Тотал убийств,Больше 40.5,1.87,5600,выигрыш,4872
488,2026-07-09 17:15 UTC,8888592426,15-я минута,,Vici Gaming vs Team Spirit,Тотал убийств,Больше 53.5,1.95,6100,проигрыш,-6100
491,2026-07-09 18:19 UTC,8888693655,10-я минута,,Team Yandex vs Virtus.pro,Тотал убийств,Больше 43.5,1.87,5800,проигрыш,-5800
493,2026-07-09 19:19 UTC,8888776689,10-я минута,,Team Yandex vs Virtus.pro,Тотал убийств,Больше 37.5,1.81,5500,выигрыш,4455
495,2026-07-10 09:31 UTC,8889452921,10-я минута,,Rune Eaters vs GamerLegion,Тотал убийств,Больше 38.5,1.82,5400,выигрыш,4428
496,2026-07-10 13:56 UTC,8889789755,10-я минута,,Nigma Galaxy vs Level UP esport,Тотал убийств,Больше 38.5,1.81,5000,проигрыш,-5000
498,2026-07-10 14:39 UTC,8889871314,10-я минута,,Team Nemesis vs Vici Gaming,Тотал убийств,Больше 49.5,1.81,5700,выигрыш,4617
500,2026-07-10 15:11 UTC,8889914618,10-я минута,,PVISION vs MOUZ,Тотал убийств,Больше 43.5,1.81,4400,проигрыш,-4400
502,2026-07-10 15:27 UTC,8889944251,10-я минута,,REKONIX vs Team Spirit,Тотал убийств,Больше 47.5,1.81,6100,выигрыш,4941
503,2026-07-10 15:31 UTC,8889944251,15-я минута,,REKONIX vs Team Spirit,Тотал убийств,Больше 48.5,1.85,6100,выигрыш,5185
504,2026-07-10 15:31 UTC,8889944251,15-я минута,,REKONIX vs Team Spirit,Тотал убийств,Больше 49.5,1.97,6100,выигрыш,5917
508,2026-07-10 17:35 UTC,8890162325,10-я минута,,OG vs 1w,Тотал убийств,Больше 44.5,1.88,6000,выигрыш,5280
510,2026-07-10 17:51 UTC,8890179830,10-я минута,,Team Yandex vs LGD Gaming,Тотал убийств,Больше 42.5,1.77,6000,проигрыш,-6000
511,2026-07-10 17:55 UTC,8890179830,15-я минута,,Team Yandex vs LGD Gaming,Тотал убийств,Больше 36.5,1.88,6000,выигрыш,5280
512,2026-07-10 18:02 UTC,8890206902,10-я минута,,Inner Circle x Insanity vs Virtus.pro,Тотал убийств,Больше 35.5,1.91,6000,проигрыш,-6000
514,2026-07-11 09:46 UTC,8891145641,15-я минута,,Xtreme Gaming vs Team Falcon,Тотал убийств,Больше 49.5,1.8,5400,выигрыш,4320
515,2026-07-11 11:18 UTC,8891240327,15-я минута,,Team Falcons vs Xtreme Gaming,Тотал убийств,Больше 53.5,1.8,5300,выигрыш,4240
517,2026-07-11 12:55 UTC,8891371442,10-я минута,,Aurora Gaming vs Team Liquid,Тотал убийств,Больше 45.5,1.86,5000,проигрыш,-5000
519,2026-07-11 14:05 UTC,8891497910,10-я минута,,Team Liquid vs Aurora Gaming,Тотал убийств,Больше 42.5,1.84,4300,выигрыш,3612
521,2026-07-12 09:26 UTC,8892829232,10-я минута,,MOUZ vs Vici Gaming,Тотал убийств,Больше 44.5,1.8,5200,выигрыш,4160
522,2026-07-12 09:32 UTC,8892829232,15-я минута,,MOUZ vs Vici Gaming,Тотал убийств,Больше 49.5,1.82,5400,выигрыш,4428
523,2026-07-12 09:32 UTC,8892829232,15-я минута,,MOUZ vs Vici Gaming,Тотал убийств,Больше 50.5,1.9,5400,выигрыш,4860
524,2026-07-12 12:13 UTC,8893070561,драфт (до игры),,1w vs Team Yandex,Тотал убийств,Больше 48.5,1.76,2700,выигрыш,2052
525,2026-07-12 12:25 UTC,8893070561,10-я минута,,1w vs Team Yandex,Тотал убийств,Больше 45.5,1.84,6300,выигрыш,5292
526,2026-07-12 12:48 UTC,8893106015,10-я минута,,Virtus.pro vs OG,Тотал убийств,Больше 44.5,1.83,6700,выигрыш,5561
529,2026-07-14 13:16 UTC,8896267691,10-я минута,,Team Liquid vs Xtreme Gaming,Тотал убийств,Больше 43.5,1.82,3600,выигрыш,2952
530,2026-07-14 17:06 UTC,8896645659,10-я минута,,MOUZ vs LGD Gaming,Тотал убийств,Больше 46.5,1.87,4600,выигрыш,4002
533,2026-07-15 11:31 UTC,8897585705,10-я минута,,Aurora Gaming vs Rune Eater,Тотал убийств,Больше 38.5,1.81,7600,выигрыш,6156
535,2026-07-15 12:58 UTC,8897695379,15-я минута,,Rune Eaters vs Aurora Gaming,Тотал убийств,Больше 52.5,1.8,6100,выигрыш,4880
537,2026-07-15 15:44 UTC,8897971312,10-я минута,,1w vs Vici Gaming,Тотал убийств,Больше 51.5,1.81,4700,проигрыш,-4700
542,2026-07-17 13:10 UTC,8900623530,15-я минута,,Vici Gaming vs Team Falcon,Тотал убийств,Меньше 47.5,1.88,6300,выигрыш,5544
544,2026-07-17 14:26 UTC,8900771154,драфт (до игры),,Nigma Galaxy vs BoomBoy,Тотал убийств,Больше 44.5,1.74,3500,выигрыш,2590
545,2026-07-17 14:55 UTC,8900771154,10-я минута,,Nigma Galaxy vs BoomBoy,Тотал убийств,Больше 49.5,2.06,7600,проигрыш,-7600
547,2026-07-19 15:27 UTC,8904157676,10-я минута,,PVISION vs BoomBoy,Тотал убийств,Больше 50.5,1.85,6600,выигрыш,5610
550,2026-07-27 10:23 UTC,8916102349,10-я минута,EPL Masters I,PuckChamp vs Level UP esport,Тотал убийств,Больше 56.5,1.81,3700,выигрыш,2997
554,2026-07-28 11:35 UTC,8917675823,15-я минута,EPL Masters I,_PowerRangers vs Nemiga Gaming,Тотал убийств,Больше 42.5,1.82,7500,проигрыш,-7500
556,2026-07-28 13:34 UTC,8917853656,10-я минута,EPL Masters I,No Hoodwink vs PuckChamp,Тотал убийств,Больше 42.5,1.8,4500,выигрыш,3600
562,2026-07-30 12:36 UTC,8920787889,15-я минута,EPL Masters I,Zero Tenacity vs Level UP esport,Тотал убийств,Меньше 61.5,1.74,9000,выигрыш,6660
564,2026-07-30 15:02 UTC,8921002620,15-я минута,EPL Masters I,Zero Tenacity vs Level UP esport,Тотал убийств,Больше 57.5,1.81,9400,выигрыш,7614
565,2026-07-30 15:07 UTC,8921021224,15-я минута,1win Essence II,Nigma Galaxy vs Vici Gaming,Тотал убийств,Больше 52.5,1.8,9100,выигрыш,7280
566,2026-07-30 16:43 UTC,8921162227,10-я минута,EPL Masters I,_PowerRangers vs Amaru Gaming,Тотал убийств,Больше 63.5,1.92,7300,проигрыш,-7300
567,2026-07-30 16:48 UTC,8921162227,15-я минута,EPL Masters I,_PowerRangers vs Amaru Gaming,Тотал убийств,Больше 66.5,1.84,10100,проигрыш,-10100
570,2026-07-30 18:33 UTC,8921343589,10-я минута,1win Essence II,Team Falcons vs Vici Gaming,Тотал убийств,Больше 35.5,1.94,9300,проигрыш,-9300
573,2026-07-30 19:26 UTC,8921416387,10-я минута,1win Essence II,Team Liquid vs MOUZ,Тотал убийств,Больше 48.5,1.74,8800,выигрыш,6512
574,2026-07-30 19:31 UTC,8921416387,15-я минута,1win Essence II,Team Liquid vs MOUZ,Тотал убийств,Больше 43.5,1.81,8800,выигрыш,7128
578,2026-07-31 07:02 UTC,8921979012,10-я минута,Games of the Future 2026: Group Stage,Yellow Submarine vs Execration,Тотал убийств,Больше 50.5,1.85,5000,выигрыш,4250
579,2026-07-31 09:06 UTC,8922074642,15-я минута,Games of the Future 2026: Group Stage,Amaru Gaming vs Vici Gaming,Тотал убийств,Больше 54.5,1.81,5000,аннулирована (техническая ошибка: матч ошибочно попал в расчёт ставок),0
584,2026-07-31 10:39 UTC,8922186876,драфт (до игры),Games of the Future 2026: Group Stage,Vici Gaming vs Amaru Gaming,Тотал убийств,Больше 43.5,1.74,5000,выигрыш,3700
585,2026-07-31 10:51 UTC,8922186876,10-я минута,Games of the Future 2026: Group Stage,Vici Gaming vs Amaru Gaming,Тотал убийств,Больше 45.5,1.84,2500,выигрыш,2100
588,2026-07-31 11:11 UTC,8922211678,10-я минута,Games of the Future 2026: Group Stage,PlayTime vs Team resilience,Тотал убийств,Больше 56.5,1.83,5000,выигрыш,4150
589,2026-07-31 11:16 UTC,8922211678,15-я минута,Games of the Future 2026: Group Stage,PlayTime vs Team resilience,Тотал убийств,Больше 62.5,1.81,2500,выигрыш,2025
591,2026-07-31 11:34 UTC,8922223454,15-я минута,1win Essence II,BoomBoys vs MOUZ,Тотал убийств,Больше 41.5,1.85,5000,выигрыш,4250
594,2026-07-31 13:52 UTC,8922433138,10-я минута,Games of the Future 2026: Group Stage,REKONIX vs L1GA TEAM,Тотал убийств,Больше 40.5,1.73,5000,ожидание,
