# Импортировано 2026-07-30. Результаты ДО запуска публичного архива (2026-07-30); в реальном времени публично не проверялись.
n,date_utc,match_id,minute,league,teams,market,selection,odds,stake,result,profit
330,2026-06-07 09:34 UTC,8842052142,15-я минута,,LGD Gaming vs BB,Тотал убийств,Меньше 50.5,1.89,6300,выигрыш,5607
331,2026-06-07 10:45 UTC,8842134886,15-я минута,,BB vs LGD Gaming,Тотал убийств,Меньше 50.5,1.8,4700,проигрыш,-4700
332,2026-06-07 12:16 UTC,8842245726,15-я минута,,BB vs LGD Gaming,Тотал убийств,Меньше 43.5,1.77,6300,проигрыш,-6300
333,2026-06-15 22:14 UTC,8853573979,15-я минута,,Red Hot Chili Pibble vs Amaru Gaming,Тотал убийств,Больше 44.5,1.74,6000,проигрыш,-6000
334,2026-06-17 21:17 UTC,8855968667,15-я минута,,PlayTime vs Team Nemesi,Тотал убийств,Меньше 37.5,1.8,5700,проигрыш,-5700
335,2026-06-19 04:21 UTC,8857465914,15-я минута,,Amaru Gaming vs Team Nemesi,Тотал убийств,Меньше 56.5,1.81,5400,проигрыш,-5400
336,2026-06-19 05:58 UTC,8857522406,15-я минута,,Amaru Gaming vs Team Nemesi,Тотал убийств,Меньше 54.5,1.83,5100,выигрыш,4233
337,2026-06-21 09:29 UTC,8860410652,драфт (до игры),,Team Spirit vs VP.Prodigy,Тотал убийств,Больше 46.5,1.67,1600,выигрыш,1072
338,2026-06-21 09:46 UTC,8860410652,15-я минута,,Team Spirit vs VP.Prodigy,Тотал убийств,Больше 50.5,1.75,5400,проигрыш,-5400
339,2026-06-21 10:44 UTC,8860454696,15-я минута,,GLYPH vs OG,Тотал убийств,Больше 38.5,1.71,5100,проигрыш,-5100
340,2026-06-22 08:23 UTC,8861689034,драфт (до игры),,GLYPH vs TEAM GRIND,Тотал убийств,Больше 44.5,1.68,1900,проигрыш,-1900
341,2026-06-22 08:40 UTC,8861689034,15-я минута,,GLYPH vs TEAM GRIND,Тотал убийств,Больше 36.5,1.69,4900,проигрыш,-4900
342,2026-06-22 09:53 UTC,8861740474,15-я минута,,REKONIX vs OG,Тотал убийств,Больше 40.5,1.73,4500,выигрыш,3285
343,2026-06-22 14:22 UTC,8862032169,15-я минута,,Execration vs TEAM GRIND,Тотал убийств,Больше 44.5,1.81,4700,выигрыш,3807
344,2026-06-23 11:42 UTC,8863091025,драфт (до игры),,OG vs TEAM GRIND,Тотал убийств,Больше 49.5,1.74,2000,выигрыш,1480
345,2026-06-23 18:45 UTC,8863619325,15-я минута,,Nigma Galaxy vs Natus Vincere,Тотал убийств,Меньше 53.5,1.84,5000,выигрыш,4200
346,2026-06-24 14:11 UTC,8864540587,15-я минута,,Yellow Submarine vs Virtus.pro,Тотал убийств,Больше 40.5,1.74,5200,выигрыш,3848
347,2026-06-24 17:40 UTC,8864836417,15-я минута,,TEAM VISION vs _PowerRanger,Тотал убийств,Больше 45.5,1.7,5400,выигрыш,3780
348,2026-06-27 11:31 UTC,8868891396,15-я минута,,Natus Vincere vs HULIGANI,Тотал убийств,Больше 42.5,1.8,5600,выигрыш,4480
349,2026-06-28 16:47 UTC,8871409188,15-я минута,,Yellow Submarine vs Nigma Galaxy,Тотал убийств,Больше 55.5,1.83,5600,проигрыш,-5600
350,2026-06-28 17:53 UTC,8871520485,15-я минута,,Nigma Galaxy vs Yellow Submarine,Тотал убийств,Меньше 54.5,1.92,5500,проигрыш,-5500
351,2026-07-07 10:14 UTC,8885195986,15-я минута,,Rune Eaters vs Xtreme Gaming,Тотал убийств,Больше 44.5,1.82,5000,выигрыш,4100
352,2026-07-07 12:07 UTC,8885275216,драфт (до игры),,Xtreme Gaming vs Rune Eater,Тотал убийств,Больше 46.5,1.73,4100,выигрыш,2993
353,2026-07-07 12:47 UTC,8885365825,10-я минута,,Nigma Galaxy vs L1 TEAM,Тотал убийств,Больше 37.5,1.84,5400,проигрыш,-5400
354,2026-07-07 12:53 UTC,8885365825,15-я минута,,Nigma Galaxy vs L1 TEAM,Тотал убийств,Больше 40.5,1.82,5400,проигрыш,-5400
355,2026-07-07 14:23 UTC,8885529711,драфт (до игры),,Level UP esports vs Aurora Gaming,Тотал убийств,Больше 45.5,1.73,2800,проигрыш,-2800
356,2026-07-07 14:35 UTC,8885529711,10-я минута,,Level UP esports vs Aurora Gaming,Тотал убийств,Больше 44.5,1.89,4800,проигрыш,-4800
357,2026-07-07 15:49 UTC,8885633666,15-я минута,,MOUZ vs Team Spirit,Тотал убийств,Больше 59.5,1.8,2600,выигрыш,2080
358,2026-07-07 18:05 UTC,8885859920,драфт (до игры),,LGD Gaming vs Virtus.pro,Тотал убийств,Больше 47.5,1.8,4500,выигрыш,3600
359,2026-07-07 18:16 UTC,8885859920,10-я минута,,LGD Gaming vs Virtus.pro,Тотал убийств,Больше 41.5,1.8,4500,выигрыш,3600
360,2026-07-07 19:15 UTC,8885928262,10-я минута,,OG vs Team Yandex,Тотал убийств,Больше 35.5,1.8,4200,проигрыш,-4200
361,2026-07-07 20:08 UTC,8886013461,10-я минута,,LGD Gaming vs Virtus.pro,Тотал убийств,Больше 46.5,1.83,4700,выигрыш,3901
362,2026-07-07 20:15 UTC,8886005043,10-я минута,,Team Yandex vs OG,Тотал убийств,Больше 36.5,1.8,4700,выигрыш,3760
363,2026-07-08 10:51 UTC,8886640910,10-я минута,,Rune Eaters vs Team Falcon,Тотал убийств,Больше 55.5,1.88,4100,проигрыш,-4100
364,2026-07-08 12:26 UTC,8886736772,15-я минута,,Level UP esports vs Team Liquid,Тотал убийств,Больше 51.5,1.78,4900,выигрыш,3822
365,2026-07-08 14:55 UTC,8886971456,15-я минута,,MOUZ vs REKONIX,Тотал убийств,Больше 47.5,1.88,5100,выигрыш,4488
366,2026-07-08 16:07 UTC,8887075626,15-я минута,,MOUZ vs REKONIX,Тотал убийств,Больше 63.5,1.84,5300,выигрыш,4452
367,2026-07-08 16:14 UTC,8887114313,драфт (до игры),,Team Nemesis vs Team Spirit,Тотал убийств,Больше 46.5,1.78,2300,выигрыш,1794
368,2026-07-08 16:27 UTC,8887114313,10-я минута,,Team Nemesis vs Team Spirit,Тотал убийств,Больше 52.5,1.85,5300,выигрыш,4505
369,2026-07-08 16:31 UTC,8887114313,15-я минута,,Team Nemesis vs Team Spirit,Тотал убийств,Больше 54.5,1.76,5300,выигрыш,4028
370,2026-07-08 17:44 UTC,8887218598,15-я минута,,OG vs LGD Gaming,Тотал убийств,Меньше 43.5,1.81,6000,выигрыш,4860
371,2026-07-08 17:58 UTC,8887260104,драфт (до игры),,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 44.5,1.74,4500,проигрыш,-4500
372,2026-07-08 18:10 UTC,8887260104,10-я минута,,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 57.5,1.8,6000,проигрыш,-6000
373,2026-07-08 18:16 UTC,8887260104,15-я минута,,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 54.5,1.78,6000,проигрыш,-6000
374,2026-07-08 18:59 UTC,8887337672,драфт (до игры),,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 42.5,1.74,3100,проигрыш,-3100
375,2026-07-08 19:03 UTC,8887325211,10-я минута,,Virtus.pro vs 1w,Тотал убийств,Больше 51.5,1.9,4300,выигрыш,3870
376,2026-07-08 19:07 UTC,8887325211,15-я минута,,Virtus.pro vs 1w,Тотал убийств,Больше 56.5,1.88,4800,выигрыш,4224
377,2026-07-08 19:13 UTC,8887337672,10-я минута,,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 39.5,1.82,5400,выигрыш,4428
378,2026-07-08 19:18 UTC,8887337672,15-я минута,,Team Yandex vs Inner Circle x Insanity,Тотал убийств,Больше 41.5,1.8,5400,проигрыш,-5400
379,2026-07-08 20:32 UTC,8887432754,10-я минута,,1w vs Virtus.pro,Тотал убийств,Больше 41.5,1.86,5600,проигрыш,-5600
380,2026-07-09 09:33 UTC,8887986392,10-я минута,,_PowerRangers vs Xtreme Gaming,Тотал убийств,Больше 45.5,1.87,4400,выигрыш,3828
381,2026-07-09 11:23 UTC,8888083694,10-я минута,,Team Falcons vs GamerLegion,Тотал убийств,Больше 37.5,1.84,4100,выигрыш,3444
382,2026-07-09 13:04 UTC,8888217771,10-я минута,,Team Liquid vs Nigma Galaxy,Тотал убийств,Больше 46.5,1.81,3400,выигрыш,2754
383,2026-07-09 15:54 UTC,8888489297,10-я минута,,Vici Gaming vs Team Spirit,Тотал убийств,Больше 40.5,1.87,5600,выигрыш,4872
384,2026-07-09 17:15 UTC,8888592426,15-я минута,,Vici Gaming vs Team Spirit,Тотал убийств,Больше 53.5,1.95,6100,проигрыш,-6100
385,2026-07-09 18:19 UTC,8888693655,10-я минута,,Team Yandex vs Virtus.pro,Тотал убийств,Больше 43.5,1.87,5800,проигрыш,-5800
386,2026-07-09 19:19 UTC,8888776689,10-я минута,,Team Yandex vs Virtus.pro,Тотал убийств,Больше 37.5,1.81,5500,выигрыш,4455
387,2026-07-10 09:31 UTC,8889452921,10-я минута,,Rune Eaters vs GamerLegion,Тотал убийств,Больше 38.5,1.82,5400,выигрыш,4428
388,2026-07-10 13:56 UTC,8889789755,10-я минута,,Nigma Galaxy vs Level UP esport,Тотал убийств,Больше 38.5,1.81,5000,проигрыш,-5000
389,2026-07-10 14:39 UTC,8889871314,10-я минута,,Team Nemesis vs Vici Gaming,Тотал убийств,Больше 49.5,1.81,5700,выигрыш,4617
390,2026-07-10 15:11 UTC,8889914618,10-я минута,,PVISION vs MOUZ,Тотал убийств,Больше 43.5,1.81,4400,проигрыш,-4400
391,2026-07-10 15:27 UTC,8889944251,10-я минута,,REKONIX vs Team Spirit,Тотал убийств,Больше 47.5,1.81,6100,выигрыш,4941
392,2026-07-10 15:31 UTC,8889944251,15-я минута,,REKONIX vs Team Spirit,Тотал убийств,Больше 48.5,1.85,6100,выигрыш,5185
393,2026-07-10 15:31 UTC,8889944251,15-я минута,,REKONIX vs Team Spirit,Тотал убийств,Больше 49.5,1.97,6100,выигрыш,5917
394,2026-07-10 17:35 UTC,8890162325,10-я минута,,OG vs 1w,Тотал убийств,Больше 44.5,1.88,6000,выигрыш,5280
395,2026-07-10 17:51 UTC,8890179830,10-я минута,,Team Yandex vs LGD Gaming,Тотал убийств,Больше 42.5,1.77,6000,проигрыш,-6000
396,2026-07-10 17:55 UTC,8890179830,15-я минута,,Team Yandex vs LGD Gaming,Тотал убийств,Больше 36.5,1.88,6000,выигрыш,5280
397,2026-07-10 18:02 UTC,8890206902,10-я минута,,Inner Circle x Insanity vs Virtus.pro,Тотал убийств,Больше 35.5,1.91,6000,проигрыш,-6000
398,2026-07-11 09:46 UTC,8891145641,15-я минута,,Xtreme Gaming vs Team Falcon,Тотал убийств,Больше 49.5,1.8,5400,выигрыш,4320
399,2026-07-11 11:18 UTC,8891240327,15-я минута,,Team Falcons vs Xtreme Gaming,Тотал убийств,Больше 53.5,1.8,5300,выигрыш,4240
400,2026-07-11 12:55 UTC,8891371442,10-я минута,,Aurora Gaming vs Team Liquid,Тотал убийств,Больше 45.5,1.86,5000,проигрыш,-5000
401,2026-07-11 14:05 UTC,8891497910,10-я минута,,Team Liquid vs Aurora Gaming,Тотал убийств,Больше 42.5,1.84,4300,выигрыш,3612
402,2026-07-12 09:26 UTC,8892829232,10-я минута,,MOUZ vs Vici Gaming,Тотал убийств,Больше 44.5,1.8,5200,выигрыш,4160
403,2026-07-12 09:32 UTC,8892829232,15-я минута,,MOUZ vs Vici Gaming,Тотал убийств,Больше 49.5,1.82,5400,выигрыш,4428
404,2026-07-12 09:32 UTC,8892829232,15-я минута,,MOUZ vs Vici Gaming,Тотал убийств,Больше 50.5,1.9,5400,выигрыш,4860
405,2026-07-12 12:13 UTC,8893070561,драфт (до игры),,1w vs Team Yandex,Тотал убийств,Больше 48.5,1.76,2700,выигрыш,2052
406,2026-07-12 12:25 UTC,8893070561,10-я минута,,1w vs Team Yandex,Тотал убийств,Больше 45.5,1.84,6300,выигрыш,5292
407,2026-07-12 12:48 UTC,8893106015,10-я минута,,Virtus.pro vs OG,Тотал убийств,Больше 44.5,1.83,6700,выигрыш,5561
408,2026-07-14 13:16 UTC,8896267691,10-я минута,,Team Liquid vs Xtreme Gaming,Тотал убийств,Больше 43.5,1.82,3600,выигрыш,2952
409,2026-07-14 17:06 UTC,8896645659,10-я минута,,MOUZ vs LGD Gaming,Тотал убийств,Больше 46.5,1.87,4600,выигрыш,4002
410,2026-07-15 11:31 UTC,8897585705,10-я минута,,Aurora Gaming vs Rune Eater,Тотал убийств,Больше 38.5,1.81,7600,выигрыш,6156
411,2026-07-15 12:58 UTC,8897695379,15-я минута,,Rune Eaters vs Aurora Gaming,Тотал убийств,Больше 52.5,1.8,6100,выигрыш,4880
412,2026-07-15 15:44 UTC,8897971312,10-я минута,,1w vs Vici Gaming,Тотал убийств,Больше 51.5,1.81,4700,проигрыш,-4700
413,2026-07-17 13:10 UTC,8900623530,15-я минута,,Vici Gaming vs Team Falcon,Тотал убийств,Меньше 47.5,1.88,6300,выигрыш,5544
414,2026-07-17 14:26 UTC,8900771154,драфт (до игры),,Nigma Galaxy vs BoomBoy,Тотал убийств,Больше 44.5,1.74,3500,выигрыш,2590
415,2026-07-17 14:55 UTC,8900771154,10-я минута,,Nigma Galaxy vs BoomBoy,Тотал убийств,Больше 49.5,2.06,7600,проигрыш,-7600
416,2026-07-19 15:27 UTC,8904157676,10-я минута,,PVISION vs BoomBoy,Тотал убийств,Больше 50.5,1.85,6600,выигрыш,5610
417,2026-07-27 10:23 UTC,8916102349,10-я минута,EPL Masters I,PuckChamp vs Level UP esport,Тотал убийств,Больше 56.5,1.81,3700,выигрыш,2997
418,2026-07-28 11:35 UTC,8917675823,15-я минута,EPL Masters I,_PowerRangers vs Nemiga Gaming,Тотал убийств,Больше 42.5,1.82,7500,проигрыш,-7500
419,2026-07-28 13:34 UTC,8917853656,10-я минута,EPL Masters I,No Hoodwink vs PuckChamp,Тотал убийств,Больше 42.5,1.8,4500,выигрыш,3600
